<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1999.02.19	119.680	121.450	119.410	121.350	7550	0	50
1999.02.22	121.400	122.520	120.050	121.140	7559	0	50
1999.02.23	121.020	121.900	119.800	120.790	7610	0	50
1999.02.24	120.780	122.100	120.570	121.380	6616	0	50
1999.02.25	121.350	121.820	119.110	119.820	6296	0	50
1999.02.26	119.620	121.120	118.450	119.210	7699	0	50
1999.03.01	119.280	119.900	118.860	119.740	6071	0	50
1999.03.02	119.710	120.870	119.710	120.090	4659	0	50
1999.03.03	120.040	121.900	119.920	121.850	6370	0	50
1999.03.04	121.840	123.750	121.780	123.500	6188	0	50
1999.03.05	123.400	123.570	122.030	122.720	5908	0	50
1999.03.08	122.850	123.180	121.090	121.710	5974	0	50
1999.03.09	121.650	122.100	120.630	121.120	7553	0	50
1999.03.10	121.130	121.380	119.580	119.780	6925	0	50
1999.03.11	119.770	121.050	118.640	119.110	7610	0	50
1999.03.12	119.120	120.470	118.670	118.780	6725	0	50
1999.03.15	119.100	119.390	117.390	117.860	5807	0	50
1999.03.16	117.870	118.490	117.320	117.440	5541	0	50
1999.03.17	117.390	119.180	117.200	118.260	5795	0	50
1999.03.18	118.280	118.800	117.370	117.500	6815	0	50
1999.03.19	117.530	117.800	116.890	117.050	6088	0	50
1999.03.22	116.940	118.430	116.920	118.310	5633	0	50
1999.03.23	118.320	118.780	117.810	118.170	5521	0	50
1999.03.24	118.230	118.510	117.120	118.160	6285	0	50
1999.03.25	118.130	118.380	117.690	118.170	6031	0	50
1999.03.26	118.160	120.490	117.980	120.320	5727	0	50
1999.03.29	120.360	120.580	119.620	120.220	4896	0	50
1999.03.30	120.260	120.710	119.860	120.260	4252	0	50
1999.03.31	120.250	121.000	118.150	118.860	6323	0	50
1999.04.01	118.850	120.870	118.400	120.870	4934	0	50
1999.04.02	120.870	120.870	120.350	120.770	1241	0	50
1999.04.05	120.660	122.000	120.430	121.700	2044	0	50
1999.04.06	121.710	121.810	120.430	120.550	5363	0	50
1999.04.07	120.560	121.620	120.450	121.420	4850	0	50
1999.04.08	121.410	121.600	120.380	121.240	5975	0	50
1999.04.09	121.250	121.490	120.740	120.940	5611	0	50
1999.04.12	120.870	120.900	119.750	120.420	5077	0	50
1999.04.13	120.430	120.800	119.630	119.770	5280	0	50
1999.04.14	119.780	119.960	118.520	118.720	5433	0	50
1999.04.15	118.830	119.460	118.280	119.160	5796	0	50
1999.04.16	119.150	119.170	117.420	117.860	5323	0	50
1999.04.19	117.820	118.520	117.500	117.610	4691	0	50
1999.04.20	117.620	118.970	117.460	118.910	4841	0	50
1999.04.21	118.920	119.930	118.520	119.830	5470	0	50
1999.04.22	119.820	120.410	119.370	119.530	5246	0	50
1999.04.23	119.510	119.820	119.020	119.200	4462	0	50
1999.04.26	119.230	119.580	118.680	119.370	4316	0	50
1999.04.27	119.330	120.570	119.140	120.240	5139	0	50
1999.04.28	120.230	120.420	118.310	119.050	6613	0	50
1999.04.29	119.030	119.640	118.790	119.150	4859	0	50
1999.04.30	119.140	119.970	118.950	119.500	5099	0	50
1999.05.03	119.530	120.400	119.420	120.300	3515	0	50
1999.05.04	120.290	121.290	120.170	120.820	4904	0	50
1999.05.05	120.850	121.400	120.150	120.400	5314	0	50
1999.05.06	120.390	121.140	119.820	120.540	6450	0	50
1999.05.07	120.540	120.920	120.270	120.750	5222	0	50
1999.05.10	120.910	121.290	120.410	120.620	4644	0	50
1999.05.11	120.610	121.190	120.270	120.940	5403	0	50
1999.05.12	120.950	121.610	120.310	120.890	5422	0	50
1999.05.13	120.890	121.900	120.880	121.770	4283	0	50
1999.05.17	122.840	123.590	122.770	123.570	6065	0	50
1999.05.18	123.530	123.660	122.630	123.320	5371	0	50
1999.05.19	123.330	124.720	123.210	124.280	6981	0	50
1999.05.20	124.280	124.820	123.810	124.320	6343	0	50
1999.05.21	124.330	124.590	123.500	123.970	5736	0	50
1999.05.24	124.060	124.370	122.920	123.070	3524	0	50
1999.05.25	123.060	123.350	122.230	122.420	5364	0	50
1999.05.26	122.330	122.470	121.590	122.340	6828	0	50
1999.05.27	122.320	122.750	119.750	120.270	6732	0	50
1999.05.28	120.220	121.780	120.190	121.570	6584	0	50
1999.05.31	121.750	121.900	121.170	121.520	3653	0	50
1999.06.01	121.520	121.970	120.360	120.650	6343	0	50
1999.06.02	120.660	121.690	120.320	121.610	6333	0	50
1999.06.03	121.630	122.020	120.960	121.520	6533	0	50
1999.06.04	121.590	122.470	121.020	122.350	5219	0	50
1999.06.07	122.410	122.420	120.550	120.800	4142	0	50
1999.06.08	120.810	121.690	118.720	119.270	7377	0	50
1999.06.09	119.260	119.630	118.570	119.220	6820	0	50
1999.06.10	119.190	119.950	117.640	118.880	9403	0	50
1999.06.11	118.890	119.100	117.850	117.890	6316	0	50
1999.06.14	118.060	120.880	117.880	120.670	7144	0	50
1999.06.15	120.670	120.770	120.130	120.420	5551	0	50
1999.06.16	120.460	120.650	119.920	120.420	4755	0	50
1999.06.17	120.380	120.420	119.120	119.470	6152	0	50
1999.06.18	119.500	120.940	118.970	120.510	5236	0	50
1999.06.21	120.720	122.600	120.600	122.350	6143	0	50
1999.06.22	122.320	122.520	121.500	121.750	6269	0	50
1999.06.23	121.760	122.330	121.680	121.870	5710	0	50
1999.06.24	121.880	122.310	121.620	121.890	5266	0	50
1999.06.25	121.820	122.050	121.120	121.480	6166	0	50
1999.06.28	121.370	121.950	120.970	121.460	5990	0	50
1999.06.29	121.480	121.620	120.760	121.080	4106	0	50
1999.06.30	121.070	121.270	120.550	121.070	6382	0	50
1999.07.01	121.070	121.520	120.600	120.760	4807	0	50
1999.07.02	120.770	121.260	120.730	120.960	4037	0	50
1999.07.05	121.050	122.860	120.870	122.370	4881	0	50
1999.07.06	122.390	122.440	121.820	122.050	4432	0	50
1999.07.07	122.040	122.350	121.800	122.340	4569	0	50
1999.07.08	122.320	122.770	122.200	122.570	4804	0	50
1999.07.09	122.560	122.720	122.050	122.370	4982	0	50
1999.07.12	122.320	122.500	121.920	122.220	4188	0	50
1999.07.13	122.220	122.270	121.120	121.250	5736	0	50
1999.07.14	121.290	121.500	120.380	120.710	5540	0	50
1999.07.15	120.740	121.220	120.250	121.000	6374	0	50
1999.07.16	120.930	121.150	120.470	120.970	5535	0	50
1999.07.19	120.980	121.050	117.670	118.320	6628	0	50
1999.07.20	118.340	119.730	117.910	118.970	5960	0	50
1999.07.21	119.050	119.700	118.050	118.170	6094	0	50
1999.07.22	118.190	118.800	116.170	116.960	6413	0	50
1999.07.23	116.960	117.450	116.120	116.480	6865	0	50
1999.07.26	116.860	117.100	115.430	116.840	6545	0	50
1999.07.27	116.860	117.400	116.170	116.440	6356	0	50
1999.07.28	116.440	116.570	115.340	116.070	5928	0	50
1999.07.29	116.070	116.140	114.910	115.440	6401	0	50
1999.07.30	115.450	115.850	114.140	114.570	4298	0	50
1999.08.02	114.870	114.990	113.870	114.450	6220	0	50
1999.08.03	114.440	115.720	114.360	115.250	6034	0	50
1999.08.04	115.260	115.350	114.050	114.310	5496	0	50
1999.08.05	114.380	114.950	113.600	114.560	6551	0	50
1999.08.06	114.540	115.030	114.240	114.880	5127	0	50
1999.08.09	115.230	115.520	114.950	115.080	4182	0	50
1999.08.10	115.090	115.450	114.380	114.890	5119	0	50
1999.08.11	114.890	115.420	114.480	115.360	5167	0	50
1999.08.12	115.350	116.070	115.220	115.290	5232	0	50
1999.08.13	115.300	116.350	114.510	115.800	5695	0	50
1999.08.16	115.750	115.910	114.550	114.560	5376	0	50
1999.08.17	114.420	114.950	113.870	114.020	5408	0	50
1999.08.18	114.010	114.300	111.630	111.960	7431	0	50
1999.08.19	111.970	112.350	110.710	111.550	7929	0	50
1999.08.20	111.550	112.160	111.050	111.250	5706	0	50
1999.08.23	111.260	112.050	110.570	111.540	6070	0	50
1999.08.24	111.520	112.920	110.680	110.840	7173	0	50
1999.08.25	110.850	112.200	110.530	111.070	7228	0	50
1999.08.26	111.090	111.960	110.770	111.570	4203	0	50
1999.08.27	111.560	111.970	111.270	111.380	5077	0	50
1999.08.30	110.920	111.600	110.560	110.580	4917	0	50
1999.08.31	110.570	111.090	109.020	109.680	7028	0	50
1999.09.01	109.690	109.850	108.660	109.050	5728	0	50
1999.09.02	109.040	109.660	108.710	109.210	6078	0	50
1999.09.03	109.210	110.470	109.090	110.040	5638	0	50
1999.09.06	109.570	109.980	109.330	109.670	4832	0	50
1999.09.07	109.650	111.420	109.430	110.720	5421	0	50
1999.09.08	110.720	111.300	110.380	111.150	6038	0	50
1999.09.09	111.150	111.160	107.560	108.030	7981	0	50
1999.09.10	108.020	109.990	107.650	108.720	8444	0	50
1999.09.13	108.850	109.160	106.110	106.690	6414	0	50
1999.09.14	106.700	107.300	105.160	105.860	8896	0	50
1999.09.15	105.860	106.050	103.190	104.560	8083	0	50
1999.09.16	104.480	105.600	103.560	105.230	7516	0	50
1999.09.17	104.910	107.320	104.780	107.180	6338	0	50
1999.09.20	107.670	108.220	105.890	106.220	6235	0	50
1999.09.21	106.230	107.370	103.770	104.880	7832	0	50
1999.09.22	104.890	105.560	103.670	104.300	6113	0	50
1999.09.23	104.310	104.620	103.470	103.810	6767	0	50
1999.09.24	103.810	105.160	103.750	104.200	6358	0	50
1999.09.27	105.520	106.470	103.900	105.790	7159	0	50
1999.09.28	105.820	106.720	105.470	106.550	6304	0	50
1999.09.29	106.530	107.270	106.060	107.160	6109	0	50
1999.09.30	107.150	107.300	105.200	106.310	6843	0	50
1999.10.01	106.300	106.380	104.830	105.140	5742	0	50
1999.10.04	105.080	106.480	104.600	106.200	5408	0	50
