<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2007.03.29	0.93330	0.93900	0.93220	0.93500	4947	0	100
2007.03.30	0.93510	0.93620	0.92930	0.93250	6362	0	100
2007.04.02	0.93300	0.94480	0.93140	0.94430	6104	0	100
2007.04.03	0.94440	0.94480	0.93830	0.94160	5330	0	100
2007.04.04	0.94170	0.94930	0.93340	0.94810	6729	0	100
2007.04.05	0.94820	0.95110	0.94070	0.94310	5456	0	100
2007.04.06	0.94290	0.94400	0.93730	0.93930	2251	0	100
2007.04.09	0.93890	0.94180	0.93760	0.94090	2833	0	100
2007.04.10	0.94100	0.94870	0.93990	0.94680	7270	0	100
2007.04.11	0.94670	0.94740	0.93790	0.93880	5761	0	100
2007.04.12	0.93910	0.94290	0.93800	0.94040	6280	0	100
2007.04.13	0.94050	0.94830	0.94030	0.94780	5960	0	100
2007.04.16	0.94790	0.94940	0.93980	0.94190	5082	0	100
2007.04.17	0.94200	0.94710	0.94070	0.94610	5300	0	100
2007.04.18	0.94620	0.94750	0.94000	0.94550	7866	0	100
2007.04.19	0.94570	0.94600	0.93490	0.94330	8000	0	100
2007.04.20	0.94360	0.94490	0.93690	0.94070	4936	0	100
2007.04.23	0.93980	0.94000	0.93270	0.93330	4968	0	100
2007.04.24	0.93340	0.93540	0.92310	0.92790	7872	0	100
2007.04.25	0.92800	0.93620	0.92730	0.93100	6199	0	100
2007.04.26	0.93060	0.93150	0.92360	0.92670	6271	0	100
2007.04.27	0.92680	0.92870	0.92330	0.92600	4426	0	100
2007.04.30	0.92460	0.92520	0.91910	0.92030	6060	0	100
2007.05.01	0.92040	0.92230	0.91650	0.91920	5776	0	100
2007.05.02	0.91910	0.92030	0.91180	0.91240	6683	0	100
2007.05.03	0.91250	0.91490	0.90980	0.91160	3927	0	100
2007.05.04	0.91150	0.91200	0.90150	0.90950	4549	0	100
2007.05.07	0.90860	0.91280	0.90770	0.90840	4376	0	100
2007.05.08	0.90830	0.91680	0.90810	0.91590	5675	0	100
2007.05.09	0.91600	0.91860	0.91320	0.91460	4594	0	100
2007.05.10	0.91470	0.92250	0.91420	0.91710	6790	0	100
2007.05.11	0.91700	0.92810	0.91470	0.92290	6767	0	100
2007.05.14	0.92370	0.92790	0.91940	0.91990	5576	0	100
2007.05.15	0.92000	0.92110	0.91220	0.91530	5696	0	100
2007.05.16	0.91520	0.91610	0.90740	0.90870	5885	0	100
2007.05.17	0.90860	0.91200	0.90060	0.90460	5781	0	100
2007.05.18	0.90470	0.90530	0.89460	0.89530	6535	0	100
2007.05.21	0.89700	0.89790	0.88740	0.89010	6025	0	100
2007.05.22	0.89020	0.89270	0.88870	0.88970	5797	0	100
2007.05.23	0.88960	0.89540	0.88960	0.89080	5777	0	100
2007.05.24	0.89060	0.89200	0.88630	0.88710	5631	0	100
2007.05.25	0.88720	0.88970	0.88200	0.88310	5502	0	100
2007.05.28	0.88340	0.88590	0.88280	0.88430	1808	0	100
2007.05.29	0.88440	0.88850	0.87690	0.87790	4352	0	100
2007.05.30	0.87800	0.88470	0.87440	0.88380	5891	0	100
2007.05.31	0.88370	0.88630	0.88100	0.88450	6378	0	100
2007.06.01	0.88440	0.88740	0.88040	0.88320	5976	0	100
2007.06.04	0.88330	0.88330	0.87850	0.88220	5004	0	100
2007.06.05	0.88230	0.89050	0.88160	0.88980	6348	0	100
2007.06.06	0.88970	0.89440	0.88830	0.88980	5321	0	100
2007.06.07	0.88970	0.89730	0.88900	0.89510	5930	0	100
2007.06.08	0.89490	0.89850	0.89220	0.89570	11588	0	100
2007.06.11	0.89540	0.89660	0.89090	0.89350	4829	0	100
2007.06.12	0.89380	0.89810	0.89240	0.89620	4779	0	100
2007.06.13	0.89630	0.90050	0.89460	0.89530	9175	0	100
2007.06.14	0.89550	0.89700	0.88950	0.89170	4303	0	100
2007.06.15	0.89240	0.89910	0.88820	0.89880	2823	0	100
2007.06.18	0.89830	0.90460	0.89620	0.90200	4224	0	100
2007.06.19	0.90190	0.90390	0.89760	0.89880	4262	0	100
2007.06.20	0.89850	0.90380	0.89730	0.89850	4942	0	100
2007.06.21	0.89840	0.91060	0.89840	0.90980	4385	0	100
2007.06.22	0.90960	0.91140	0.90350	0.90480	4185	0	100
2007.06.25	0.90440	0.91000	0.90430	0.90640	6564	0	100
2007.06.26	0.90650	0.90940	0.90350	0.90450	4670	0	100
2007.06.27	0.90440	0.90490	0.89480	0.89660	6040	0	100
2007.06.28	0.89670	0.90080	0.89420	0.89680	8189	0	100
2007.06.29	0.89670	0.90600	0.89010	0.90430	7379	0	100
2007.07.02	0.90580	0.90760	0.90260	0.90660	7468	0	100
2007.07.03	0.90680	0.90820	0.90230	0.90640	7256	0	100
2007.07.04	0.90630	0.90900	0.90470	0.90690	4537	0	100
2007.07.05	0.90680	0.91020	0.90310	0.90340	4606	0	100
2007.07.06	0.90330	0.90560	0.89690	0.90010	4523	0	100
2007.07.09	0.89950	0.90340	0.89730	0.90170	4349	0	100
2007.07.10	0.90160	0.90900	0.89920	0.90720	6352	0	100
2007.07.11	0.90730	0.91340	0.90490	0.90990	9233	0	100
2007.07.12	0.90960	0.91020	0.90320	0.90530	6472	0	100
2007.07.13	0.90540	0.91270	0.90470	0.91230	5647	0	100
2007.07.16	0.91160	0.91600	0.90780	0.90950	4583	0	100
2007.07.17	0.90940	0.91360	0.90850	0.90980	4246	0	100
2007.07.18	0.90990	0.91850	0.90890	0.91530	5818	0	100
2007.07.19	0.91550	0.91910	0.91400	0.91770	5887	0	100
2007.07.20	0.91760	0.92300	0.91680	0.92250	7305	0	100
2007.07.23	0.92150	0.92500	0.91990	0.92360	5313	0	100
2007.07.24	0.92350	0.92680	0.91190	0.91360	7802	0	100
2007.07.25	0.91370	0.92190	0.91150	0.92090	10137	0	100
2007.07.26	0.92080	0.92570	0.91510	0.91680	8398	0	100
2007.07.27	0.91710	0.92310	0.90410	0.90630	14663	0	100
2007.07.30	0.90290	0.91500	0.90160	0.91430	13508	0	100
2007.07.31	0.91460	0.91720	0.90620	0.90630	8864	0	100
2007.08.01	0.90640	0.91050	0.89790	0.90390	10006	0	100
2007.08.02	0.90410	0.90670	0.89850	0.90300	7661	0	100
2007.08.03	0.90310	0.90630	0.90030	0.90300	6716	0	100
2007.08.06	0.90150	0.90530	0.89980	0.90150	4355	0	100
2007.08.07	0.90160	0.90520	0.89840	0.90150	6571	0	100
2007.08.08	0.90160	0.90550	0.90030	0.90340	6272	0	100
2007.08.09	0.90350	0.90760	0.89660	0.89850	8411	0	100
2007.08.10	0.89830	0.89910	0.88650	0.88900	10361	0	100
2007.08.13	0.89110	0.89580	0.88190	0.88700	7085	0	100
2007.08.14	0.88730	0.89230	0.88370	0.88980	8197	0	100
2007.08.15	0.89000	0.89160	0.88190	0.88320	11438	0	100
2007.08.16	0.88300	0.88570	0.84050	0.85540	20973	0	100
2007.08.17	0.85560	0.85980	0.82680	0.84490	20432	0	100
