<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.09.19	0.88940	0.92320	0.88690	0.92150	40735	0	80
2008.09.22	0.92370	0.92380	0.90450	0.90460	33304	0	80
2008.09.23	0.90450	0.91360	0.90010	0.90420	25731	0	80
2008.09.24	0.90400	0.91360	0.90260	0.90990	26670	0	80
2008.09.25	0.90930	0.91320	0.90530	0.90880	27946	0	80
2008.09.26	0.90870	0.91030	0.89760	0.90470	28514	0	80
2008.09.29	0.90670	0.91410	0.86810	0.87020	32479	0	80
2008.09.30	0.87030	0.89230	0.86490	0.88980	33652	0	80
2008.10.01	0.88970	0.89640	0.88320	0.88860	33199	0	80
2008.10.02	0.88870	0.89400	0.87530	0.87860	34900	0	80
2008.10.03	0.87870	0.88520	0.87050	0.87170	33803	0	80
2008.10.06	0.87730	0.87740	0.79720	0.81520	47221	0	80
2008.10.07	0.81540	0.83870	0.80160	0.81010	47340	0	80
2008.10.08	0.81000	0.81340	0.72930	0.75780	54449	0	80
2008.10.09	0.75770	0.80690	0.74930	0.77500	45694	0	80
2008.10.10	0.77490	0.77520	0.71880	0.73190	58646	0	80
2008.10.13	0.76830	0.79600	0.74400	0.79300	41725	0	80
2008.10.14	0.79310	0.81780	0.78700	0.79520	46166	0	80
2008.10.15	0.79540	0.80100	0.73600	0.74050	45940	0	80
2008.10.16	0.74020	0.78930	0.73790	0.78200	51349	0	80
2008.10.17	0.78210	0.79510	0.76420	0.78300	34228	0	80
2008.10.20	0.78810	0.81110	0.78230	0.80880	30977	0	80
2008.10.21	0.80890	0.80900	0.77170	0.77870	33602	0	80
2008.10.22	0.77890	0.79000	0.77210	0.78120	40554	0	80
2008.10.23	0.78110	0.78480	0.75680	0.78110	48297	0	80
2008.10.24	0.78090	0.78150	0.69750	0.72580	62081	0	80
2008.10.27	0.71410	0.72700	0.69290	0.69750	44206	0	80
2008.10.28	0.69760	0.75540	0.69630	0.74790	45548	0	80
2008.10.29	0.74760	0.76980	0.73230	0.75680	50705	0	80
2008.10.30	0.75690	0.77920	0.75360	0.76950	51379	0	80
2008.10.31	0.76940	0.77460	0.75170	0.77250	47579	0	80
2008.11.03	0.77450	0.80040	0.77060	0.79420	40560	0	80
2008.11.04	0.79470	0.81490	0.77710	0.81020	47392	0	80
2008.11.05	0.81010	0.81310	0.78360	0.78390	54552	0	80
2008.11.06	0.78430	0.80700	0.77910	0.78280	50286	0	80
