<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1999.03.15	1.09090	1.09610	1.08850	1.09230	3929	0	50
1999.03.16	1.09220	1.10200	1.08190	1.10120	4193	0	50
1999.03.17	1.10060	1.10450	1.09370	1.10070	5054	0	50
1999.03.18	1.10090	1.10700	1.09570	1.09730	5362	0	50
1999.03.19	1.09730	1.10010	1.08770	1.08890	4663	0	50
1999.03.22	1.09090	1.09200	1.08520	1.09160	4385	0	50
1999.03.23	1.09140	1.09270	1.08600	1.08890	4761	0	50
1999.03.24	1.08900	1.09620	1.08650	1.08820	4746	0	50
1999.03.25	1.08750	1.09090	1.08260	1.08340	4342	0	50
1999.03.26	1.08350	1.08680	1.07150	1.07650	4987	0	50
1999.03.29	1.07520	1.07900	1.06800	1.07310	4312	0	50
1999.03.30	1.07300	1.07750	1.06970	1.07200	3564	0	50
1999.03.31	1.07220	1.08220	1.06860	1.07690	4767	0	50
1999.04.01	1.07630	1.08230	1.07270	1.07950	4366	0	50
1999.04.02	1.07980	1.08070	1.07660	1.07940	1901	0	50
1999.04.05	1.07950	1.07970	1.07030	1.07100	2679	0	50
1999.04.06	1.07100	1.08550	1.07050	1.08420	5092	0	50
1999.04.07	1.08360	1.08470	1.07650	1.07680	4698	0	50
1999.04.08	1.07690	1.08840	1.07250	1.07500	5112	0	50
1999.04.09	1.07430	1.08150	1.07310	1.07940	5095	0	50
1999.04.12	1.08220	1.08790	1.08020	1.08100	3946	0	50
1999.04.13	1.08070	1.08310	1.07450	1.07820	4555	0	50
1999.04.14	1.07810	1.08200	1.07650	1.08140	4244	0	50
1999.04.15	1.08100	1.08150	1.06920	1.06950	4649	0	50
1999.04.16	1.06930	1.07180	1.06290	1.07020	4850	0	50
1999.04.19	1.06760	1.07030	1.05910	1.06640	4622	0	50
1999.04.20	1.06600	1.06850	1.06100	1.06200	4884	0	50
1999.04.21	1.06210	1.06370	1.05750	1.05860	4938	0	50
1999.04.22	1.05890	1.06600	1.05600	1.06460	4516	0	50
1999.04.23	1.06430	1.06850	1.05970	1.06080	4312	0	50
1999.04.26	1.06050	1.06280	1.05740	1.05870	4145	0	50
1999.04.27	1.05860	1.06700	1.05790	1.06590	5181	0	50
1999.04.28	1.06600	1.07000	1.06030	1.06270	4967	0	50
1999.04.29	1.06280	1.06400	1.05780	1.06140	5051	0	50
1999.04.30	1.06150	1.06350	1.05470	1.05750	4484	0	50
1999.05.03	1.05910	1.06030	1.05510	1.05650	3465	0	50
1999.05.04	1.05650	1.06350	1.05570	1.06300	4683	0	50
1999.05.05	1.06300	1.07740	1.06170	1.07550	4966	0	50
1999.05.06	1.07540	1.08270	1.07370	1.07960	6044	0	50
1999.05.07	1.07950	1.08140	1.07450	1.07580	4969	0	50
1999.05.10	1.07300	1.08330	1.07070	1.07830	4779	0	50
1999.05.11	1.07870	1.08050	1.07020	1.07150	5491	0	50
1999.05.12	1.07140	1.07350	1.06350	1.06490	6217	0	50
1999.05.13	1.06500	1.06760	1.06020	1.06570	6648	0	50
1999.05.17	1.06750	1.06880	1.06400	1.06690	4939	0	50
1999.05.18	1.06670	1.07100	1.06570	1.06800	4788	0	50
1999.05.19	1.06810	1.06920	1.06200	1.06670	5782	0	50
1999.05.20	1.06650	1.07140	1.06130	1.06190	5722	0	50
1999.05.21	1.06200	1.06240	1.05440	1.05910	4751	0	50
1999.05.24	1.05620	1.06080	1.05500	1.06020	2940	0	50
1999.05.25	1.06030	1.06470	1.05600	1.06170	5992	0	50
1999.05.26	1.06180	1.06270	1.04370	1.04490	6539	0	50
1999.05.27	1.04500	1.04910	1.04070	1.04270	6539	0	50
1999.05.28	1.04270	1.05090	1.03970	1.04290	6101	0	50
1999.05.31	1.04560	1.04870	1.04120	1.04220	4803	0	50
1999.06.01	1.04210	1.04750	1.04160	1.04530	6295	0	50
1999.06.02	1.04520	1.04630	1.03250	1.03630	6391	0	50
1999.06.03	1.03580	1.04170	1.03030	1.03140	7563	0	50
1999.06.04	1.03160	1.03790	1.02700	1.03760	5856	0	50
1999.06.07	1.03590	1.03590	1.02600	1.02890	4907	0	50
1999.06.08	1.02880	1.04720	1.02630	1.04630	6566	0	50
1999.06.09	1.04630	1.04880	1.04250	1.04670	5490	0	50
1999.06.10	1.04680	1.05230	1.04360	1.04870	7029	0	50
1999.06.11	1.04860	1.05590	1.04670	1.05130	5236	0	50
1999.06.14	1.05070	1.05080	1.04060	1.04200	5349	0	50
1999.06.15	1.04250	1.04380	1.03790	1.04310	5859	0	50
1999.06.16	1.04310	1.04400	1.02880	1.03050	5349	0	50
1999.06.17	1.03050	1.03590	1.02900	1.03430	5404	0	50
1999.06.18	1.03430	1.04280	1.02940	1.04000	5391	0	50
1999.06.21	1.03830	1.04200	1.03070	1.03500	5733	0	50
1999.06.22	1.03430	1.03610	1.02930	1.03270	5484	0	50
1999.06.23	1.03280	1.03500	1.02700	1.03360	5170	0	50
1999.06.24	1.03350	1.04170	1.03050	1.04070	5381	0	50
1999.06.25	1.04080	1.04770	1.04040	1.04290	5813	0	50
1999.06.28	1.03970	1.04390	1.03260	1.03320	6071	0	50
1999.06.29	1.03320	1.03700	1.03140	1.03260	6098	0	50
1999.06.30	1.03260	1.03630	1.02900	1.03620	8006	0	50
1999.07.01	1.03590	1.03970	1.02180	1.02380	4882	0	50
1999.07.02	1.02370	1.02580	1.02100	1.02500	6542	0	50
1999.07.05	1.02480	1.02580	1.02120	1.02240	4642	0	50
1999.07.06	1.02250	1.02600	1.01840	1.02480	5017	0	50
1999.07.07	1.02500	1.02710	1.01720	1.01900	5444	0	50
1999.07.08	1.01890	1.02270	1.01470	1.02210	5603	0	50
1999.07.09	1.02210	1.02440	1.01620	1.02000	5984	0	50
1999.07.12	1.01950	1.02000	1.01110	1.01480	4231	0	50
1999.07.13	1.01460	1.02120	1.01070	1.01710	5817	0	50
1999.07.14	1.01680	1.02270	1.01260	1.02020	5821	0	50
1999.07.15	1.02010	1.02520	1.01840	1.01990	6845	0	50
1999.07.16	1.01970	1.02320	1.01830	1.02010	5648	0	50
1999.07.19	1.01860	1.03330	1.01220	1.03170	6140	0	50
1999.07.20	1.03140	1.04370	1.02790	1.04050	4939	0	50
1999.07.21	1.04030	1.05480	1.03940	1.05150	5063	0	50
1999.07.22	1.05150	1.05700	1.04750	1.05020	5912	0	50
1999.07.23	1.05020	1.05460	1.04550	1.05240	5872	0	50
1999.07.26	1.05210	1.07230	1.05160	1.06430	6689	0	50
1999.07.27	1.06420	1.07030	1.06070	1.06340	6676	0	50
1999.07.28	1.06330	1.06920	1.05900	1.06670	5495	0	50
1999.07.29	1.06660	1.07430	1.06530	1.07130	6631	0	50
1999.07.30	1.07110	1.07460	1.06750	1.07140	4191	0	50
1999.08.02	1.07000	1.07110	1.06250	1.06820	6180	0	50
1999.08.03	1.06840	1.07020	1.06280	1.06790	6279	0	50
1999.08.04	1.06770	1.07960	1.06720	1.07790	6167	0	50
1999.08.05	1.07800	1.08270	1.07420	1.07580	5882	0	50
1999.08.06	1.07550	1.07920	1.07210	1.07350	6106	0	50
1999.08.09	1.07250	1.07380	1.06820	1.07220	4808	0	50
1999.08.10	1.07210	1.07660	1.06990	1.07070	5078	0	50
1999.08.11	1.07090	1.07270	1.06420	1.06570	4676	0	50
1999.08.12	1.06570	1.06790	1.06210	1.06730	5747	0	50
1999.08.13	1.06730	1.06970	1.05590	1.05670	5828	0	50
1999.08.16	1.05760	1.06010	1.05430	1.05830	5606	0	50
1999.08.17	1.05820	1.05880	1.04900	1.05110	5167	0	50
1999.08.18	1.05100	1.05610	1.04980	1.05250	5511	0	50
1999.08.19	1.05260	1.06490	1.04590	1.06350	6210	0	50
1999.08.20	1.06340	1.06950	1.06270	1.06750	5416	0	50
1999.08.23	1.06710	1.06800	1.04600	1.04930	5258	0	50
1999.08.24	1.04920	1.05510	1.03980	1.05350	6368	0	50
1999.08.25	1.05390	1.05490	1.04070	1.04310	6726	0	50
1999.08.26	1.04320	1.04720	1.04110	1.04590	4473	0	50
1999.08.27	1.04590	1.04900	1.04260	1.04650	5221	0	50
1999.08.30	1.04790	1.04980	1.04350	1.04940	5261	0	50
1999.08.31	1.04960	1.06080	1.04830	1.05620	5778	0	50
1999.09.01	1.05660	1.06400	1.05590	1.05780	4723	0	50
1999.09.02	1.05770	1.07290	1.05570	1.06820	5055	0	50
1999.09.03	1.06840	1.07220	1.05870	1.06130	5533	0	50
1999.09.06	1.05780	1.06210	1.05700	1.05720	4672	0	50
1999.09.07	1.05710	1.06030	1.05170	1.05890	6016	0	50
1999.09.08	1.05880	1.06450	1.05640	1.05970	6771	0	50
1999.09.09	1.05960	1.06360	1.05250	1.05370	6618	0	50
1999.09.10	1.05370	1.05650	1.03490	1.03680	7342	0	50
1999.09.13	1.03570	1.04290	1.02980	1.04160	7180	0	50
1999.09.14	1.04170	1.04420	1.03180	1.03570	7232	0	50
1999.09.15	1.03580	1.04230	1.02860	1.04060	6886	0	50
1999.09.16	1.04070	1.04710	1.03500	1.03870	6668	0	50
1999.09.17	1.03920	1.04270	1.03620	1.04250	5927	0	50
1999.09.20	1.04130	1.04510	1.03490	1.03670	5586	0	50
1999.09.21	1.03680	1.05020	1.03590	1.04920	6013	0	50
1999.09.22	1.04930	1.05430	1.04070	1.04340	6119	0	50
1999.09.23	1.04350	1.05170	1.03930	1.05120	5640	0	50
1999.09.24	1.05110	1.05410	1.04210	1.04300	5963	0	50
1999.09.27	1.04360	1.04800	1.03940	1.04600	5902	0	50
1999.09.28	1.04590	1.05700	1.04410	1.05180	5789	0	50
1999.09.29	1.05200	1.06570	1.05160	1.06430	5492	0	50
1999.09.30	1.06420	1.07010	1.06090	1.06790	5746	0	50
1999.10.01	1.06800	1.07670	1.06360	1.07300	5556	0	50
1999.10.04	1.07140	1.07760	1.06890	1.07340	5313	0	50
1999.10.05	1.07350	1.07600	1.06690	1.07320	6007	0	50
1999.10.06	1.07310	1.07790	1.06810	1.06890	6397	0	50
1999.10.07	1.06880	1.07480	1.06610	1.07100	6586	0	50
1999.10.08	1.07110	1.07200	1.06020	1.06310	5788	0	50
1999.10.11	1.06160	1.06570	1.06080	1.06330	5260	0	50
1999.10.12	1.06320	1.07750	1.06310	1.07730	6860	0	50
1999.10.13	1.07710	1.08170	1.07360	1.08100	6502	0	50
1999.10.14	1.08100	1.08310	1.07490	1.07730	6801	0	50
1999.10.15	1.07740	1.09150	1.07660	1.08780	6950	0	50
1999.10.18	1.08980	1.09040	1.08030	1.08160	6587	0	50
1999.10.19	1.08170	1.08520	1.07760	1.08270	6098	0	50
1999.10.20	1.08260	1.08440	1.07300	1.07650	6322	0	50
1999.10.21	1.07650	1.08340	1.07540	1.08050	6269	0	50
1999.10.22	1.08030	1.08140	1.06530	1.06930	6032	0	50
1999.10.25	1.06900	1.07050	1.06330	1.06770	5511	0	50
1999.10.26	1.06770	1.06970	1.05630	1.05960	6178	0	50
1999.10.27	1.05940	1.06400	1.04770	1.05240	6686	0	50
1999.10.28	1.05240	1.05450	1.04710	1.05220	6968	0	50
1999.11.01	1.05510	1.05940	1.04840	1.05170	6332	0	50
1999.11.02	1.05200	1.05580	1.04850	1.05230	6182	0	50
1999.11.03	1.05230	1.05350	1.04560	1.04890	6718	0	50
1999.11.04	1.04890	1.05410	1.03440	1.03710	7010	0	50
1999.11.05	1.03700	1.04570	1.03610	1.04440	7090	0	50
1999.11.08	1.04440	1.04630	1.03470	1.03830	6498	0	50
1999.11.09	1.03850	1.04330	1.03630	1.04010	5718	0	50
1999.11.10	1.04060	1.04550	1.03890	1.04450	6498	0	50
1999.11.11	1.04440	1.04510	1.03920	1.04060	5819	0	50
1999.11.12	1.04070	1.04150	1.02890	1.03190	6284	0	50
1999.11.15	1.03300	1.03450	1.02970	1.03330	5540	0	50
1999.11.16	1.03330	1.03570	1.02910	1.03030	5822	0	50
1999.11.17	1.02980	1.04450	1.02970	1.04100	6670	0	50
1999.11.18	1.04070	1.04360	1.02650	1.02960	6009	0	50
1999.11.19	1.02990	1.03360	1.02450	1.03100	5893	0	50
1999.11.22	1.03030	1.03410	1.02910	1.03170	5408	0	50
1999.11.23	1.03190	1.03360	1.02570	1.02770	5436	0	50
1999.11.24	1.02780	1.02850	1.01560	1.01860	6594	0	50
1999.11.25	1.01850	1.02130	1.01640	1.01840	6010	0	50
1999.11.26	1.01850	1.02000	1.00800	1.01720	6394	0	50
1999.11.29	1.01570	1.02030	1.00370	1.00880	7261	0	50
1999.11.30	1.00900	1.01450	1.00420	1.00850	7503	0	50
1999.12.01	1.00860	1.01290	1.00470	1.00830	6082	0	50
1999.12.02	1.00820	1.01070	0.99960	1.00180	7018	0	50
1999.12.03	1.00180	1.00420	0.99930	1.00310	5905	0	50
1999.12.06	1.00250	1.02630	0.99910	1.02240	5000	0	50
1999.12.07	1.02240	1.02970	1.01990	1.02500	5767	0	50
1999.12.08	1.02510	1.02890	1.02210	1.02770	5457	0	50
1999.12.09	1.02780	1.02850	1.01520	1.02150	5767	0	50
1999.12.10	1.02170	1.02280	1.01120	1.01370	4936	0	50
1999.12.13	1.01390	1.01610	1.01070	1.01380	4044	0	50
1999.12.14	1.01370	1.01490	1.00270	1.00550	4870	0	50
1999.12.15	1.00560	1.00870	1.00110	1.00710	5023	0	50
1999.12.16	1.00720	1.01920	1.00620	1.01860	5462	0	50
1999.12.17	1.01760	1.02470	1.00610	1.00770	5596	0	50
1999.12.20	1.00840	1.01450	1.00410	1.01380	6450	0	50
1999.12.21	1.01360	1.01540	1.00730	1.00860	6796	0	50
1999.12.22	1.00850	1.01110	1.00550	1.00920	6372	0	50
1999.12.23	1.00930	1.01780	1.00700	1.01630	5111	0	50
1999.12.24	1.01610	1.01720	1.01140	1.01310	3882	0	50
1999.12.27	1.01270	1.01600	1.01130	1.01320	4863	0	50
1999.12.28	1.01310	1.01420	1.00330	1.00670	5606	0	50
1999.12.29	1.00680	1.01060	1.00350	1.00410	5145	0	50
1999.12.30	1.00420	1.00920	1.00170	1.00850	5493	0	50
1999.12.31	1.00860	1.01060	1.00470	1.00620	1718	0	50
2000.01.03	1.00730	1.02780	1.00540	1.02460	6175	0	50
2000.01.04	1.02430	1.03400	1.02130	1.02920	6797	0	50
2000.01.05	1.02930	1.04020	1.02840	1.03260	6118	0	50
2000.01.06	1.03250	1.04150	1.02720	1.03300	6625	0	50
2000.01.07	1.03290	1.03320	1.02600	1.02980	5080	0	50
2000.01.10	1.02860	1.03050	1.02110	1.02510	5758	0	50
2000.01.11	1.02530	1.03410	1.02460	1.03360	6201	0	50
2000.01.12	1.03370	1.03700	1.02610	1.03080	6430	0	50
2000.01.13	1.03090	1.03160	1.02370	1.02600	5756	0	50
2000.01.14	1.02610	1.02750	1.01140	1.01220	5682	0	50
2000.01.17	1.01290	1.01480	1.00690	1.01190	5327	0	50
2000.01.18	1.01180	1.01540	1.00720	1.01520	6314	0	50
2000.01.19	1.01520	1.01650	1.00850	1.01250	5907	0	50
2000.01.20	1.01260	1.01880	1.00730	1.01670	6410	0	50
2000.01.21	1.01680	1.01930	1.00500	1.00870	7291	0	50
2000.01.24	1.00280	1.00770	0.99970	1.00710	6006	0	50
2000.01.25	1.00700	1.00960	0.99920	1.00120	5518	0	50
2000.01.26	1.00120	1.00550	0.99950	1.00030	6615	0	50
2000.01.27	1.00070	1.00300	0.98680	0.98820	6858	0	50
2000.01.28	0.98830	0.98950	0.97360	0.97490	6451	0	50
2000.01.31	0.97730	0.98290	0.96670	0.97110	5913	0	50
2000.02.01	0.97130	0.97820	0.96670	0.97130	6351	0	50
2000.02.02	0.97130	0.98080	0.96940	0.97650	6370	0	50
2000.02.03	0.97670	0.99470	0.97100	0.98980	7222	0	50
2000.02.04	0.99000	0.99400	0.97470	0.98400	6970	0	50
2000.02.07	0.98320	0.98320	0.97540	0.98090	5419	0	50
2000.02.08	0.98100	0.99140	0.97860	0.98590	6387	0	50
2000.02.09	0.98600	0.99710	0.98560	0.99340	7129	0	50
2000.02.10	0.99340	0.99620	0.98310	0.98520	6640	0	50
2000.02.11	0.98530	0.98860	0.97860	0.98840	5823	0	50
2000.02.14	0.98770	0.99160	0.97760	0.97850	5762	0	50
2000.02.15	0.97810	0.98620	0.97630	0.98130	6107	0	50
2000.02.16	0.98150	0.98780	0.97900	0.98630	5266	0	50
2000.02.17	0.98620	0.99580	0.98370	0.98800	5918	0	50
2000.02.18	0.98810	0.99020	0.98090	0.98450	5692	0	50
2000.02.21	0.98540	0.98890	0.98430	0.98780	4987	0	50
2000.02.22	0.98780	1.00810	0.98740	1.00390	5923	0	50
2000.02.23	1.00380	1.00890	1.00110	1.00360	5391	0	50
2000.02.24	1.00350	1.00420	0.98880	0.99110	6002	0	50
2000.02.25	0.99140	0.99300	0.97220	0.97460	6187	0	50
2000.02.28	0.97280	0.97330	0.94010	0.97080	6952	0	50
