<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.04.08	3511.8	3544.0	3499.0	3538.2	637	0	0
2014.04.09	3552.1	3602.4	3544.1	3600.4	684	0	0
2014.04.10	3597.6	3599.6	3479.2	3487.8	1311	0	0
2014.04.11	3453.2	3502.3	3440.6	3446.9	1172	0	0
2014.04.14	3479.7	3493.2	3443.3	3474.6	948	0	0
2014.04.15	3484.3	3505.7	3414.1	3487.9	1797	0	0
2014.04.16	3517.5	3533.1	3489.3	3533.1	721	0	0
2014.04.17	3526.6	3551.0	3511.3	3534.5	716	0	0
2014.04.21	3543.7	3560.0	3525.6	3560.0	526	0	0
2014.04.22	3570.5	3596.9	3566.9	3588.8	418	0	0
2014.04.23	3587.7	3588.1	3555.2	3557.0	352	0	0
2014.04.24	3609.8	3613.2	3552.9	3591.0	1019	0	0
2014.04.25	3569.9	3574.0	3525.6	3533.1	601	0	0
2014.04.28	3547.0	3570.1	3489.6	3545.0	1591	0	0
2014.04.29	3557.8	3579.0	3538.2	3574.0	655	0	0
2014.04.30	3556.0	3585.5	3548.1	3582.0	489	0	0
2014.05.01	3589.7	3613.0	3580.0	3594.4	614	0	0
2014.05.02	3608.8	3611.6	3578.5	3587.6	451	0	0
2014.05.05	3566.3	3605.3	3556.4	3605.1	591	0	0
2014.05.06	3598.3	3599.7	3556.1	3556.5	455	0	0
2014.05.07	3561.5	3567.6	3506.4	3546.5	1075	0	0
2014.05.08	3533.4	3583.6	3524.9	3540.4	1105	0	0
2014.05.09	3537.7	3556.4	3516.2	3555.7	625	0	0
2014.05.12	3574.2	3613.4	3572.7	3612.7	430	0	0
2014.05.13	3614.9	3625.8	3605.8	3611.1	363	0	0
2014.05.14	3603.6	3614.6	3585.7	3593.3	476	0	0
2014.05.15	3594.6	3598.3	3542.6	3565.2	821	0	0
2014.05.16	3568.2	3590.4	3545.6	3587.2	707	0	0
2014.05.19	3577.9	3619.0	3572.3	3615.6	558	0	0
2014.05.20	3612.9	3624.6	3585.9	3600.3	649	0	0
2014.05.21	3605.8	3636.5	3605.5	3635.6	323	0	0
2014.05.22	3639.5	3660.6	3633.9	3650.9	421	0	0
2014.05.23	3656.3	3678.2	3646.2	3677.3	431	0	0
2014.05.27	3693.2	3723.1	3691.1	3723.1	342	0	0
2014.05.28	3720.9	3726.7	3708.7	3712.3	275	0	0
2014.05.29	3723.3	3735.7	3717.7	3735.7	237	0	0
2014.05.30	3738.7	3741.6	3716.1	3736.8	492	0	0
2014.06.02	3740.7	3740.7	3707.9	3733.0	580	0	0
2014.06.03	3719.2	3736.0	3715.5	3730.1	302	0	0
2014.06.04	3720.0	3750.0	3715.2	3743.6	461	0	0
2014.06.05	3748.4	3782.0	3735.2	3777.0	651	0	0
2014.06.06	3792.4	3795.1	3782.1	3794.6	239	0	0
2014.06.09	3795.9	3804.0	3783.9	3795.7	401	0	0
2014.06.10	3790.5	3802.5	3786.6	3800.9	215	0	0
2014.06.11	3789.4	3804.0	3783.6	3797.9	324	0	0
2014.06.12	3790.6	3795.0	3751.7	3763.8	599	0	0
2014.06.13	3782.8	3784.8	3759.9	3775.6	427	0	0
2014.06.16	3768.4	3789.9	3761.4	3779.9	456	0	0
2014.06.17	3775.7	3790.9	3769.9	3781.3	365	0	0
2014.06.18	3786.2	3807.5	3764.5	3804.6	677	0	0
2014.06.19	3808.8	3811.2	3783.3	3800.8	479	0	0
2014.06.20	3803.1	3807.9	3794.5	3802.6	264	0	0
2014.06.23	3802.3	3806.2	3794.9	3805.3	197	0	0
2014.06.24	3807.5	3837.2	3791.1	3799.5	843	0	0
2014.06.25	3794.8	3831.9	3792.3	3827.3	468	0	0
2014.06.26	3826.7	3827.7	3798.6	3826.9	581	0	0
2014.06.27	3825.0	3844.9	3823.2	3844.4	241	0	0
2014.06.30	3844.5	3860.7	3841.7	3849.5	331	0	0
2014.07.01	3864.1	3902.9	3863.8	3894.3	481	0	0
2014.07.02	3895.2	3904.4	3890.8	3899.3	232	0	0
2014.07.03	3911.1	3923.2	3901.3	3923.0	320	0	0
2014.07.07	3917.9	3923.9	3904.7	3910.7	313	0	0
2014.07.08	3903.4	3906.2	3848.2	3864.1	768	0	0
2014.07.09	3873.2	3896.4	3863.2	3892.9	468	0	0
2014.07.10	3837.3	3895.7	3837.2	3880.0	744	0	0
2014.07.11	3888.8	3905.4	3879.4	3904.6	363	0	0
2014.07.14	3923.6	3937.7	3916.5	3929.5	366	0	0
2014.07.15	3934.8	3940.6	3887.5	3914.5	860	0	0
2014.07.16	3943.6	3947.5	3927.0	3932.3	298	0	0
2014.07.17	3921.9	3933.9	3866.2	3878.0	916	0	0
2014.07.18	3899.4	3942.2	3894.6	3939.9	548	0	0
