<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.03	19840	19936	19770	19783	6046	0	0
2017.01.04	19784	19943	19783	19917	5793	0	0
2017.01.05	19917	19952	19805	19861	6296	0	0
2017.01.06	19861	19998	19831	19981	5853	0	0
2017.01.09	19973	19994	19890	19914	4390	0	0
2017.01.10	19915	19958	19839	19872	5607	0	0
2017.01.11	19871	19976	19828	19900	7733	0	0
2017.01.12	19900	19948	19767	19863	7416	0	0
2017.01.13	19863	19952	19860	19873	5867	0	0
2017.01.16	19882	19884	19844	19858	3405	0	0
2017.01.17	19863	19883	19792	19849	5642	0	0
2017.01.18	19849	19855	19734	19777	6616	0	0
2017.01.19	19777	19824	19738	19747	5919	0	0
2017.01.20	19748	19845	19675	19788	7275	0	0
2017.01.23	19789	19836	19732	19786	5795	0	0
2017.01.24	19785	19945	19767	19929	5921	0	0
2017.01.25	19929	20081	19908	20073	5888	0	0
2017.01.26	20072	20133	20045	20093	5939	0	0
2017.01.27	20094	20139	20073	20080	5456	0	0
2017.01.30	20029	20059	19867	19903	5116	0	0
2017.01.31	19904	19972	19785	19790	7132	0	0
2017.02.01	19789	19963	19783	19873	6387	0	0
2017.02.02	19872	19920	19804	19890	7777	0	0
2017.02.03	19889	20068	19840	20047	5992	0	0
2017.02.06	20047	20093	20002	20047	5135	0	0
2017.02.07	20047	20156	20028	20085	5516	0	0
2017.02.08	20086	20101	20014	20051	5839	0	0
2017.02.09	20052	20198	20025	20193	5395	0	0
2017.02.10	20192	20296	20165	20280	5364	0	0
2017.02.13	20286	20440	20278	20426	4530	0	0
2017.02.14	20427	20479	20382	20475	5269	0	0
2017.02.15	20474	20608	20466	20592	5505	0	0
2017.02.16	20593	20641	20557	20586	5785	0	0
2017.02.17	20586	20623	20525	20553	6102	0	0
2017.02.20	20595	20689	20584	20650	3701	0	0
2017.02.21	20653	20756	20620	20712	4688	0	0
2017.02.22	20713	20779	20688	20772	5307	0	0
2017.02.23	20772	20839	20731	20812	6079	0	0
2017.02.24	20813	20833	20713	20765	5943	0	0
2017.02.27	20817	20837	20770	20825	5673	0	0
2017.02.28	20826	20845	20774	20821	4913	0	0
2017.03.01	20821	21170	20789	21125	7587	0	0
2017.03.02	21124	21168	21039	21060	6142	0	0
2017.03.03	21061	21076	20932	20996	6667	0	0
2017.03.06	20931	20975	20902	20961	5374	0	0
2017.03.07	20962	20985	20899	20923	4956	0	0
2017.03.08	20922	20951	20859	20910	6315	0	0
2017.03.09	20910	20912	20817	20829	6363	0	0
2017.03.10	20829	20976	20777	20869	7708	0	0
2017.03.13	20867	20921	20846	20883	5004	0	0
2017.03.14	20882	20888	20783	20833	6089	0	0
2017.03.15	20834	20961	20832	20942	5704	0	0
2017.03.16	20941	21022	20890	20904	6902	0	0
2017.03.17	20903	20976	20892	20949	5600	0	0
2017.03.20	20899	20953	20874	20897	4336	0	0
2017.03.21	20896	20968	20678	20713	7751	0	0
2017.03.22	20712	20730	20578	20654	9609	0	0
2017.03.23	20653	20755	20613	20705	7739	0	0
2017.03.24	20705	20725	20581	20587	8643	0	0
2017.03.27	20540	20578	20408	20536	8155	0	0
2017.03.28	20537	20711	20512	20708	6860	0	0
2017.03.29	20707	20734	20621	20666	6862	0	0
2017.03.30	20665	20753	20628	20723	6147	0	0
2017.03.31	20721	20736	20666	20693	6040	0	0
2017.04.03	20675	20710	20512	20593	6269	0	0
2017.04.04	20593	20701	20568	20673	7288	0	0
2017.04.05	20673	20888	20655	20850	6382	0	0
2017.04.06	20851	20851	20566	20715	10285	0	0
2017.04.07	20715	20725	20519	20706	11179	0	0
2017.04.10	20671	20751	20612	20711	6047	0	0
2017.04.11	20710	20713	20507	20628	8965	0	0
2017.04.12	20627	20701	20552	20624	8102	0	0
